id|namecode|tropicos_namecode|family|family_zh|family_fot|family_fot_zh|genus|genus_zh|name|fullname|plant_type|zh_name
7248|||Selaginellaceae|卷柏科||卷柏科|Selaginella|卷柏屬|Selaginella boninensis|Selaginella boninensis Bak.|1|{小笠原卷柏}
7249|||Selaginellaceae|卷柏科||卷柏科|Selaginella|卷柏屬|Selaginella ciliaris|Selaginella ciliaris (Retz.) Spring|1|{緣毛卷柏}
7250|||Selaginellaceae|卷柏科||卷柏科|Selaginella|卷柏屬|Selaginella delicatula|Selaginella delicatula (Desv.) Alston|1|{全緣卷柏}
7251|||Selaginellaceae|卷柏科||卷柏科|Selaginella|卷柏屬|Selaginella devolii|Selaginella devolii H.M. Chang, P.F. Lu & W.L. Chiou|1|{棣氏卷柏}
7252|||Selaginellaceae|卷柏科||卷柏科|Selaginella|卷柏屬|Selaginella doederleinii|Selaginella doederleinii Hieron.|1|{生根卷柏}
7455|||Selaginellaceae|卷柏科|Selaginellaceae|卷柏科|Selaginella|卷柏屬|Selaginella doederleinii subsp. trachyphylla|Selaginella doederleinii Hieron. subsp. trachyphylla (Warb.) X.C.Zhang|1|{粗葉卷柏}
7253|||Selaginellaceae|卷柏科||卷柏科|Selaginella|卷柏屬|Selaginella helvetica subsp. pseudonipponica|Selaginella helvetica subsp. pseudonipponica (Tagawa) H.M. Chang, W.L. Chiou & J.C. Wang|1|{擬日本卷柏}
7254|||Selaginellaceae|卷柏科||卷柏科|Selaginella|卷柏屬|Selaginella heterostachys|Selaginella heterostachys Bak.|1|{姬卷柏}
7255|||Selaginellaceae|卷柏科||卷柏科|Selaginella|卷柏屬|Selaginella involvens|Selaginella involvens (Sw.) Spring|1|{密葉卷柏}
7256|||Selaginellaceae|卷柏科||卷柏科|Selaginella|卷柏屬|Selaginella labordei|Selaginella labordei Hieron. ex Christ|1|{玉山卷柏}
7257|||Selaginellaceae|卷柏科||卷柏科|Selaginella|卷柏屬|Selaginella lutchuensis|Selaginella lutchuensis Koidz.|1|{琉球卷柏}
7259|||Selaginellaceae|卷柏科||卷柏科|Selaginella|卷柏屬|Selaginella moellendorffii|Selaginella moellendorffii Hieron.|1|{異葉卷柏}
7260|||Selaginellaceae|卷柏科||卷柏科|Selaginella|卷柏屬|Selaginella nipponica|Selaginella nipponica Fr. & Sav.|1|{日本卷柏}
7261|||Selaginellaceae|卷柏科||卷柏科|Selaginella|卷柏屬|Selaginella remotifolia|Selaginella remotifolia Spring|1|{疏葉卷柏}
7262|||Selaginellaceae|卷柏科||卷柏科|Selaginella|卷柏屬|Selaginella repanda|Selaginella repanda (Desv. ex Poir.) Spring|1|{高雄卷柏}
7263|||Selaginellaceae|卷柏科||卷柏科|Selaginella|卷柏屬|Selaginella stauntoniana|Selaginella stauntoniana Spring|1|{擬密葉卷柏}
7264|||Selaginellaceae|卷柏科||卷柏科|Selaginella|卷柏屬|Selaginella tama-montana|Selaginella tama-montana Seriz.|1|{高山卷柏,山地卷柏}
7265|||Selaginellaceae|卷柏科||卷柏科|Selaginella|卷柏屬|Selaginella tamariscina|Selaginella tamariscina (P. Beauv.) Spring|1|{萬年松}
7266|||Selaginellaceae|卷柏科||卷柏科|Selaginella|卷柏屬|Selaginella uncinata|Selaginella uncinata (Desv. ex Poir.) Spring|1|{藍地柏}
6591|||Aspleniaceae|鐵角蕨科||鐵角蕨科|Asplenium|鐵角蕨屬|Asplenium adiantum-nigrum|Asplenium adiantum-nigrum L.|2|{深山鐵角蕨}
6592|||Aspleniaceae|鐵角蕨科||鐵角蕨科|Asplenium|鐵角蕨屬|Asplenium antiquum|Asplenium antiquum Makino|2|{山蘇花}
6593|||Aspleniaceae|鐵角蕨科||鐵角蕨科|Asplenium|鐵角蕨屬|Asplenium apogamum|Asplenium apogamum N. Murak. & Hatan.|2|{無配鐵角蕨}
6594|||Aspleniaceae|鐵角蕨科||鐵角蕨科|Asplenium|鐵角蕨屬|Asplenium australasicum|Asplenium australasicum (J. Sm.) Hook.|2|{南洋山蘇花}
6595|||Aspleniaceae|鐵角蕨科||鐵角蕨科|Asplenium|鐵角蕨屬|Asplenium boreale|Asplenium boreale (Ohwi ex Sa. Kurata) Nakaike|2|{北方倒掛鐵角蕨}
6596|||Aspleniaceae|鐵角蕨科||鐵角蕨科|Asplenium|鐵角蕨屬|Asplenium bullatum|Asplenium bullatum Wall. ex Mett.|2|{大鐵角蕨}
6597|||Aspleniaceae|鐵角蕨科||鐵角蕨科|Asplenium|鐵角蕨屬|Asplenium capillipes|Asplenium capillipes Makino|2|{姬鐵角蕨}
6598|||Aspleniaceae|鐵角蕨科||鐵角蕨科|Asplenium|鐵角蕨屬|Asplenium cataractarum|Asplenium cataractarum Rosenst.|2|{單邊鐵角蕨}
6599|||Aspleniaceae|鐵角蕨科||鐵角蕨科|Asplenium|鐵角蕨屬|Asplenium cheilosorum|Asplenium cheilosorum Kunze ex Mett.|2|{薄葉孔雀鐵角蕨}
6600|||Aspleniaceae|鐵角蕨科||鐵角蕨科|Asplenium|鐵角蕨屬|Asplenium crinicaule|Asplenium crinicaule Hance|2|{毛軸鐵角蕨}
6601|||Aspleniaceae|鐵角蕨科||鐵角蕨科|Asplenium|鐵角蕨屬|Asplenium cuneatiforme|Asplenium cuneatiforme Christ|2|{大蓬萊鐵角蕨}
6602|||Aspleniaceae|鐵角蕨科||鐵角蕨科|Asplenium|鐵角蕨屬|Asplenium ensiforme|Asplenium ensiforme Wall. ex Hook. & Grev.|2|{劍葉鐵角蕨}
6603|||Aspleniaceae|鐵角蕨科||鐵角蕨科|Asplenium|鐵角蕨屬|Asplenium excisum|Asplenium excisum Presl|2|{剪葉鐵角蕨}
6604|||Aspleniaceae|鐵角蕨科||鐵角蕨科|Asplenium|鐵角蕨屬|Asplenium falcatum|Asplenium falcatum Lam.|2|{革葉鐵角蕨}
6605|||Aspleniaceae|鐵角蕨科||鐵角蕨科|Asplenium|鐵角蕨屬|Asplenium filipes|Asplenium filipes Copel.|2|{複齒鐵角蕨}
6606|||Aspleniaceae|鐵角蕨科||鐵角蕨科|Asplenium|鐵角蕨屬|Asplenium formosae|Asplenium formosae Christ|2|{南海鐵角蕨}
6608|||Aspleniaceae|鐵角蕨科||鐵角蕨科|Asplenium|鐵角蕨屬|Asplenium griffithianum|Asplenium griffithianum Hook.|2|{叢葉鐵角蕨}
6609|||Aspleniaceae|鐵角蕨科||鐵角蕨科|Asplenium|鐵角蕨屬|Asplenium incisum|Asplenium incisum Thunb.|2|{縮羽鐵角蕨}
6610|||Aspleniaceae|鐵角蕨科||鐵角蕨科|Asplenium|鐵角蕨屬|Asplenium lacinioides|Asplenium lacinioides Fraser-Jenk., Pangtey & Khullar|2|{鱗柄鐵角蕨}
7445|||Aspleniaceae|鐵角蕨科|Aspleniaceae|鐵角蕨科|Asplenium|鐵角蕨屬|Asplenium lobulatum|Asplenium lobulatum Mett. ex Kuhn|2|{裂葉鐵角蕨}
6611|||Aspleniaceae|鐵角蕨科||鐵角蕨科|Asplenium|鐵角蕨屬|Asplenium neolaserpitiifolium|Asplenium neolaserpitiifolium Tardieu & Ching|2|{大黑柄鐵角蕨}
6612|||Aspleniaceae|鐵角蕨科||鐵角蕨科|Asplenium|鐵角蕨屬|Asplenium nidus|Asplenium nidus L.|2|{臺灣山蘇花}
6613|||Aspleniaceae|鐵角蕨科||鐵角蕨科|Asplenium|鐵角蕨屬|Asplenium normale|Asplenium normale D. Don|2|{生芽鐵角蕨}
6614|||Aspleniaceae|鐵角蕨科||鐵角蕨科|Asplenium|鐵角蕨屬|Asplenium obscurum|Asplenium obscurum Blume|2|{綠柄剪葉鐵角蕨}
6615|||Aspleniaceae|鐵角蕨科||鐵角蕨科|Asplenium|鐵角蕨屬|Asplenium oldhami|Asplenium oldhami Hance|2|{俄氏鐵角蕨}
6616|||Aspleniaceae|鐵角蕨科||鐵角蕨科|Asplenium|鐵角蕨屬|Asplenium pekinense|Asplenium pekinense Hance|2|{北京鐵角蕨}
6617|||Aspleniaceae|鐵角蕨科||鐵角蕨科|Asplenium|鐵角蕨屬|Asplenium pifongiae|Asplenium pifongiae L.-Y. Kuo, F.W. Li & Y.H. Chang|2|{碧鳳鐵角蕨}
6618|||Aspleniaceae|鐵角蕨科||鐵角蕨科|Asplenium|鐵角蕨屬|Asplenium prolongatum|Asplenium prolongatum Hook.|2|{長生鐵角蕨}
